Subspecies Name,Scientific Name,Region,Physical Characteristics,Coat Variations,Image Path
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\32.jpeg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\10.jpeg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\40.jpeg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\21.jpeg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\33.jpeg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\15.jpeg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\12.jpg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\14.jpeg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\6.jpg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\18.jpeg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\40.jpeg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\12.jpg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\4.jpg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\14.jpeg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\50.jpeg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\40.jpeg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\36.jpeg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\30.jpeg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\46.jpeg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\21.jpeg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\48.jpeg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\5.jpg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\15.jpeg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\3.jpg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\2.jpg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\25.jpeg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\1.jpg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\2.jpg
Alaskan Interior Wolf,Canis lupus pambasileus,Alaska,"Medium-sized build, thick fur","Gray, black, white, brown",Dataset\Alaskan Interior Wolf\43.jpeg
